2025-12-20T00:45:44.713586+0700 | INFO | 31048 | Loguru_Logging | Start HTTP-Image-Server Version 1.7
2025-12-20T00:45:44.713586+0700 | INFO | 4216 | Loguru_Logging | ---------------------------------------------------------------------------------------------------------------------
2025-12-20T00:45:44.714590+0700 | INFO | 31048 | Loguru_Logging | ---------------------------------------------------------------------------------------------------------------------
2025-12-20T00:45:44.714590+0700 | DEBUG | 4216 | <module> | Loaded configuration: {'Mapdrive': [{'name': 'DC', 'path': 'C:\\\\DC'}, {'name': 'DR', 'path': 'C:\\\\DR'}, {'name': 'Archive', 'path': 'C:\\\\Archive'}], 'Port_Server': 8080, 'Max_Workers': 4, 'log_Level': 'DEBUG', 'Log_Console': 1, 'log_Backup': 90, 'Log_Size': '10 MB'}
2025-12-20T00:45:44.714590+0700 | DEBUG | 31048 | <module> | Loaded configuration: {'Mapdrive': [{'name': 'DC', 'path': 'C:\\\\DC'}, {'name': 'DR', 'path': 'C:\\\\DR'}, {'name': 'Archive', 'path': 'C:\\\\Archive'}], 'Port_Server': 8080, 'Max_Workers': 4, 'log_Level': 'DEBUG', 'Log_Console': 1, 'log_Backup': 90, 'Log_Size': '10 MB'}
2025-12-20T00:45:44.770510+0700 | INFO | 25748 | Loguru_Logging | ---------------------------------------------------------------------------------------------------------------------
2025-12-20T00:45:44.772510+0700 | INFO | 25748 | Loguru_Logging | Start HTTP-Image-Server Version 1.7
2025-12-20T00:45:44.773517+0700 | INFO | 25748 | Loguru_Logging | ---------------------------------------------------------------------------------------------------------------------
2025-12-20T00:45:44.773517+0700 | INFO | 12452 | Loguru_Logging | ---------------------------------------------------------------------------------------------------------------------
2025-12-20T00:45:44.774511+0700 | DEBUG | 25748 | <module> | Loaded configuration: {'Mapdrive': [{'name': 'DC', 'path': 'C:\\\\DC'}, {'name': 'DR', 'path': 'C:\\\\DR'}, {'name': 'Archive', 'path': 'C:\\\\Archive'}], 'Port_Server': 8080, 'Max_Workers': 4, 'log_Level': 'DEBUG', 'Log_Console': 1, 'log_Backup': 90, 'Log_Size': '10 MB'}
2025-12-20T00:45:44.774511+0700 | INFO | 12452 | Loguru_Logging | Start HTTP-Image-Server Version 1.7
